dtadfile,count
,131050
20081124,1
20120102,1
20120418,1
20120831,1
20130312,1
20130514,1
20130811,1
20140407,1
20150107,1
20150406,1
20150530,1
20150608,1
20150619,1
20150806,1
20150810,1
20150822,1
20150824,1
20150912,1
20151015,3
20160101,76374
20160102,67805
20160103,71405
20160104,80177
20160105,78033
20160106,76649
20160107,84591
20160108,85774
20160109,93539
20160110,96386
20160111,91753
20160112,77339
20160113,78654
20160114,84839
20160115,79800
20160116,61360
20160117,59553
20160118,55163
20160119,81077
20160120,179619
20160121,85785
20160122,86732
20160123,76574
20160124,88100
20160125,92923
20160126,72474
20160127,73267
20160128,79315
20160129,82069
20160130,93684
20160131,86339
20160201,88583
20160202,70919
20160203,78486
20160204,92792
20160205,98916
20160206,107023
20160207,90384
20160208,85017
20160209,68850
20160210,78618
20160211,84903
20160212,93010
20160213,98771
20160214,85142
20160215,85496
20160216,66429
20160217,71314
20160218,76525
20160219,80592
20160220,88017
20160221,82882
20160222,78785
20160223,61459
20160224,67329
20160225,78404
20160226,83294
20160227,85540
20160228,86254
20160229,87576
20160301,78843
20160302,74487
20160303,84266
20160304,72888
20160305,104772
20160306,88244
20160307,107378
20160308,62639
20160309,79210
20160310,90001
20160311,90047
20160312,102677
20160313,98272
20160314,90387
20160315,87051
20160316,139802
20160317,115325
20160318,157497
20160319,127579
20160320,118210
20160321,136992
20160322,103815
20160323,123043
20160324,127536
20160325,131539
20160326,98245
20160327,89464
20160328,99385
20160329,95766
20160330,108134
20160331,114718
20160401,103450
20160402,98921
20160403,94852
20160404,94517
20160405,97256
20160406,85181
20160407,131543
20160408,99187
20160409,102239
20160410,100148
20160411,92482
20160412,76129
20160413,93911
20160414,106310
20160415,113979
20160416,93652
20160417,119296
20160418,100253
20160419,92705
20160420,90866
20160421,102719
20160422,105575
20160423,107079
20160424,96405
20160425,120982
20160426,84675
20160427,97059
20160428,116607
20160429,143629
20160430,125570
20160501,110613
20160502,107015
20160503,101019
20160504,131051
20160505,135487
20160506,115766
20160507,108991
20160508,102997
20160509,104235
20160510,103361
20160511,105011
20160512,124841
20160513,126769
20160514,126283
20160515,114323
20160516,109621
20160517,96774
20160518,153230
20160519,112687
20160520,135141
20160521,122656
20160522,107876
20160523,126263
20160524,90352
20160525,101541
20160526,115313
20160527,110521
20160528,111922
20160529,87599
20160530,88325
20160531,88372
20160601,109918
20160602,118159
20160603,119006
20160604,122697
20160605,109207
20160606,110912
20160607,93626
20160608,103055
20160609,116895
20160610,141157
20160611,118889
20160612,112487
20160613,107009
20160614,91255
20160615,136135
20160616,114410
20160617,143664
20160618,121289
20160619,116690
20160620,119815
20160621,108048
20160622,108180
20160623,121937
20160624,128022
20160625,125400
20160626,116934
20160627,110967
20160628,104678
20160629,112452
20160630,127933
20160701,169861
20160702,139188
20160703,120647
20160704,112940
20160705,114414
20160706,124804
20160707,140731
20160708,139663
20160709,146036
20160710,137681
20160711,139256
20160712,128540
20160713,130370
20160714,138411
20160715,147210
20160716,151428
20160717,138954
20160718,136830
20160719,128333
20160720,42524
20160721,45390
20160722,45606
20160723,49684
20160724,56711
20160725,61143
20160726,64542
20160727,66157
20160728,83565
20160729,89346
20160730,90725
20160731,96136
20160801,195659
20160802,157570
20160803,189451
20160804,118029
20160805,205486
20160806,221210
20160807,208847
20160808,191993
20160809,183659
20160810,173563
20160811,199555
20160812,196331
20160813,193592
20160814,179466
20160815,209745
20160816,156391
20160817,185986
20160818,170380
20160819,174912
20160820,169519
20160821,160969
20160822,150618
20160823,161738
20160824,153406
20160825,159987
20160826,148618
20160827,138854
20160828,118727
20160829,131323
20160830,104860
20160831,106086
20160901,154112
20160902,155169
20160903,142631
20160904,119348
20160905,120829
20160906,132878
20160907,124752
20160908,134780
20160909,159750
20160910,147671
20160911,132927
20160912,129765
20160913,115001
20160914,123732
20160915,139486
20160916,135253
20160917,137803
20160918,129386
20160919,121314
20160920,105259
20160921,110832
20160922,121630
20160923,124644
20160924,133302
20160925,122427
20160926,111222
20160927,101239
20160928,107360
20160929,122039
20160930,121815
20161001,136114
20161002,125481
20161003,121064
20161004,110523
20161005,116583
20161006,109663
20161007,118683
20161008,140493
20161009,124799
20161010,117420
20161011,96406
20161012,105515
20161013,122226
20161014,129845
20161015,136894
20161016,125004
20161017,114776
20161018,98910
20161019,108492
20161020,124633
20161021,133973
20161022,132806
20161023,121382
20161024,107628
20161025,93822
20161026,101674
20161027,111211
20161028,122502
20161029,135381
20161030,107531
20161031,97716
20161101,98008
20161102,100971
20161103,104512
20161104,102840
20161105,113847
20161106,106206
20161107,100041
20161108,84014
20161109,92277
20161110,112892
20161111,118253
20161112,125280
20161113,110510
20161114,103874
20161115,86534
20161116,98495
20161117,96489
20161118,114042
20161119,105366
20161120,88636
20161121,82728
20161122,80618
20161123,95639
20161124,96818
20161125,86458
20161126,91633
20161127,81638
20161128,86593
20161129,71140
20161130,78307
20161201,99241
20161202,96169
20161203,98575
20161204,93291
20161205,87948
20161206,70952
20161207,74706
20161208,97538
20161209,85939
20161210,104028
20161211,90862
20161212,92334
20161213,77728
20161214,96034
20161215,117859
20161216,126678
20161217,129116
20161218,125581
20161219,126356
20161220,131648
20161221,135884
20161222,153746
20161223,159351
20161224,134052
20161225,121161
20161226,143090
20161227,130799
20161228,125582
20161229,119848
20161230,107217
20161231,79927
20170101,3
20170102,1
20170103,4
20170104,1
20170105,1
20170106,4
20170110,1
20170112,1
20170113,3
20170117,1
20170119,1
20170123,2
20170124,1
20170125,1
20170126,1
20170127,1
20170130,3
20170131,1
20170201,1
20170209,3
20170213,1
20170214,8
20170217,3
20170228,1
20170302,1
20170307,1
20170308,1
20170315,2
20170322,1
20170330,1
20170412,1
20170413,1
20170417,2
20170502,1
20170515,1
20170517,1
20170524,1
20170607,1
20170609,1
