i94bir,count
,9517
-3.0,1
-2.0,2
-1.0,7
0.0,44698
1.0,173201
2.0,178813
3.0,168773
4.0,195652
5.0,210899
6.0,227145
7.0,235070
8.0,252727
9.0,268906
10.0,276404
11.0,282934
12.0,304090
13.0,313089
14.0,331748
15.0,386115
16.0,431350
17.0,414014
18.0,406308
19.0,444784
20.0,491466
21.0,552656
22.0,598450
23.0,653539
24.0,667398
25.0,707037
26.0,772811
27.0,813885
28.0,856094
29.0,857364
30.0,889353
31.0,851608
32.0,842397
33.0,843090
34.0,845296
35.0,823562
36.0,804061
37.0,791501
38.0,768890
39.0,762636
40.0,800307
41.0,761353
42.0,769873
43.0,771510
44.0,779844
45.0,788721
46.0,765836
47.0,748139
48.0,745679
49.0,717835
50.0,749601
51.0,716385
52.0,708496
53.0,700943
54.0,658547
55.0,610654
56.0,597153
57.0,563289
58.0,541187
59.0,520703
60.0,535639
61.0,496174
62.0,468129
63.0,435282
64.0,416802
65.0,388404
66.0,376866
67.0,358235
68.0,332536
69.0,314862
70.0,278391
71.0,222752
72.0,208579
73.0,181918
74.0,160812
75.0,137578
76.0,123528
77.0,105916
78.0,90638
79.0,76462
80.0,66369
81.0,53658
82.0,43170
83.0,34047
84.0,28147
85.0,21947
86.0,18165
87.0,13513
88.0,10300
89.0,7310
90.0,5500
91.0,3983
92.0,2786
93.0,1885
94.0,1386
95.0,936
96.0,750
97.0,605
98.0,253
99.0,186
100.0,185
101.0,86
102.0,77
103.0,65
104.0,92
105.0,108
106.0,19
107.0,12
108.0,16
109.0,15
110.0,11
111.0,10
112.0,10
113.0,8
114.0,4
115.0,5
116.0,9
1812.0,2
