i94cit,count
,28575
0.0,1288
101.0,11424
102.0,1287
103.0,203883
104.0,270440
105.0,30101
106.0,5
107.0,190060
108.0,328086
109.0,23583
110.0,154249
111.0,1679312
112.0,10537
113.0,82025
114.0,85107
115.0,58268
116.0,476312
117.0,1116790
118.0,20870
119.0,1832
120.0,3394
121.0,13586
122.0,1086
123.0,697890
124.0,272444
125.0,407
126.0,163094
127.0,74216
128.0,642
129.0,895509
130.0,561519
131.0,410328
133.0,205481
134.0,1
135.0,4531534
139.0,23
140.0,101511
141.0,47497
143.0,16
145.0,6230
147.0,18
148.0,2051390
149.0,15
151.0,10034
152.0,7127
153.0,17849
154.0,7083
155.0,21535
156.0,2709
157.0,8063
158.0,2700
159.0,1580
162.0,69741
163.0,9626
164.0,7881
165.0,24285
166.0,23401
167.0,7197
180.0,19168
201.0,4400
203.0,1620
204.0,103312
206.0,47554
207.0,135465
209.0,3278033
213.0,1252212
214.0,2338
216.0,2
217.0,1181
218.0,10037
220.0,417
236.0,2412
240.0,5
242.0,704
243.0,2206
244.0,22722
245.0,3128257
247.0,1290
248.0,84
249.0,24692
250.0,15044
251.0,410240
252.0,310278
253.0,42653
254.0,1998340
255.0,42452
256.0,9726
257.0,32126
258.0,108809
260.0,299815
261.0,236506
262.0,11339
263.0,102689
264.0,95
266.0,111913
267.0,4894
268.0,470308
270.0,4
271.0,4
272.0,70917
273.0,87459
274.0,35000
275.0,48
280.0,1
296.0,36855
297.0,17985
298.0,8719
299.0,13399
301.0,7020
304.0,2266
310.0,11944
311.0,5867
315.0,7882
316.0,12331
317.0,103
320.0,1242
321.0,23
322.0,950
323.0,11507
324.0,8325
326.0,5163
327.0,163
329.0,1855
330.0,33
332.0,31854
333.0,7
335.0,375
336.0,2053
338.0,1722
339.0,23764
340.0,24362
342.0,4051
343.0,193416
344.0,3913
345.0,2301
346.0,4
347.0,331
348.0,2667
350.0,5539
351.0,737
352.0,8297
354.0,2
368.0,89718
369.0,21611
370.0,3779
371.0,1715
372.0,3750
373.0,111116
374.0,31
375.0,1375
376.0,4709
381.0,1459
382.0,3006
383.0,181
384.0,709
385.0,1289
386.0,2421
387.0,2340
388.0,7566
389.0,1307
390.0,1127
391.0,8390
392.0,3650
393.0,1363
397.0,284
399.0,1304
403.0,5
404.0,115
406.0,40
407.0,1545
409.0,3
410.0,112
411.0,13
412.0,346
413.0,8806
414.0,226
416.0,15
417.0,4050
420.0,55
438.0,1325861
440.0,79
441.0,917
464.0,299718
465.0,67
467.0,4
469.0,1
470.0,1
471.0,1
472.0,61
473.0,65
501.0,2
502.0,5
504.0,147903
505.0,18
506.0,2
507.0,33
508.0,37
509.0,40766
511.0,12
512.0,252843
513.0,58544
514.0,281983
516.0,165858
518.0,15552
519.0,7005
520.0,9654
521.0,33
522.0,11030
523.0,15404
524.0,8952
525.0,20381
526.0,10026
527.0,3586
528.0,196179
529.0,79
532.0,59
574.0,70264
575.0,275086
576.0,188313
577.0,253733
578.0,175
579.0,63099
580.0,83
581.0,25675
582.0,2617070
583.0,34
584.0,52566
585.0,359432
586.0,149372
601.0,6
602.0,11986
603.0,63406
687.0,872624
688.0,67610
689.0,1672212
690.0,333361
691.0,848503
692.0,406524
693.0,29520
694.0,288802
695.0,72937
696.0,585570
711.0,3
712.0,4
714.0,4459
716.0,2
717.0,1
718.0,5681
721.0,32
723.0,2
724.0,1
725.0,4
726.0,9
727.0,336
728.0,11
729.0,8
731.0,3
732.0,4197
733.0,42
734.0,25090
735.0,4433
736.0,2
738.0,1
739.0,1
741.0,3
743.0,9718
744.0,1
745.0,24987
746.0,270628
747.0,1
748.0,230
749.0,8
750.0,8
751.0,42
752.0,1245
754.0,20339
755.0,2
756.0,10502
760.0,3
761.0,4
763.0,9
764.0,10
765.0,40
766.0,692
767.0,48
769.0,12
770.0,12
999.0,6974
