i94res,count
101.0,12317
102.0,1589
103.0,199332
104.0,276722
105.0,28080
107.0,180847
108.0,327074
109.0,22441
110.0,150704
111.0,1641152
112.0,2046288
113.0,74444
114.0,78625
115.0,57856
116.0,443005
117.0,988860
118.0,19420
119.0,2082
120.0,27660
121.0,19360
122.0,3652
123.0,674544
124.0,278000
126.0,128481
127.0,69160
128.0,644
129.0,807447
130.0,560581
131.0,471070
135.0,4587092
139.0,44
140.0,100034
141.0,45698
143.0,1298
145.0,6250
149.0,101
151.0,9873
152.0,7093
153.0,17357
154.0,7956
155.0,21161
156.0,2896
157.0,9291
158.0,273518
159.0,1594
161.0,1199
162.0,87440
163.0,9484
164.0,7262
165.0,22312
166.0,20631
167.0,6599
201.0,4579
203.0,1797
204.0,101003
206.0,132654
207.0,150650
209.0,3603786
213.0,1206771
214.0,4401
216.0,3405
217.0,1254
218.0,10471
220.0,387
236.0,3113
240.0,73
242.0,713
243.0,7694
244.0,21427
245.0,3049942
249.0,24009
250.0,13491
251.0,425085
253.0,37950
255.0,39104
256.0,11473
257.0,31401
258.0,100746
260.0,287762
261.0,251063
262.0,7047
263.0,103223
264.0,202810
266.0,110894
268.0,466267
270.0,42
271.0,32
272.0,74460
273.0,81054
274.0,33794
275.0,445
276.0,1982516
296.0,106399
297.0,33962
298.0,10526
299.0,13204
301.0,6782
304.0,2280
310.0,11300
315.0,7559
316.0,11848
317.0,116
320.0,1285
321.0,2949
322.0,993
323.0,10710
324.0,8845
326.0,5577
327.0,180
329.0,2097
330.0,61
332.0,31062
333.0,154
335.0,379
336.0,2222
338.0,1716
339.0,23509
340.0,25164
342.0,3987
343.0,191027
344.0,4073
345.0,2300
346.0,45
347.0,382
348.0,2578
350.0,4499
351.0,1508
352.0,8380
353.0,6055
368.0,83357
369.0,21135
370.0,3767
371.0,2022
372.0,3308
373.0,115243
375.0,1831
376.0,4654
381.0,1336
382.0,2877
383.0,368
384.0,742
385.0,1389
386.0,2363
387.0,2679
388.0,7935
389.0,1311
390.0,1259
391.0,8506
392.0,3562
393.0,5752
397.0,287
399.0,1388
409.0,544
410.0,255
411.0,1885
412.0,373
413.0,8737
414.0,231
416.0,42
417.0,3830
420.0,67
438.0,1350508
440.0,147
441.0,1034
464.0,292884
467.0,60
469.0,41
470.0,13
472.0,106
473.0,473
474.0,165
502.0,123
504.0,171322
507.0,5093
508.0,1802
509.0,72469
511.0,5593
512.0,262047
513.0,60329
514.0,278518
516.0,167028
518.0,16428
519.0,6815
520.0,9559
521.0,280
522.0,10989
523.0,15271
524.0,8347
525.0,26830
526.0,33226
527.0,10189
528.0,196765
529.0,997
532.0,9718
575.0,284614
576.0,189168
577.0,256407
579.0,62876
581.0,26057
582.0,2661125
584.0,65819
585.0,364787
586.0,147478
601.0,876
602.0,12486
603.0,62067
604.0,60
687.0,926321
688.0,69350
689.0,1725479
690.0,342721
691.0,852618
692.0,416109
693.0,32076
694.0,296633
695.0,80265
696.0,589848
716.0,34
717.0,292
721.0,5276
723.0,336
726.0,17
729.0,22
732.0,3997
735.0,5009
736.0,97
743.0,7618
745.0,20416
748.0,237
749.0,1568
757.0,3
760.0,42
